ID,Maker,Genmodel,Genmodel_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,repair_date,value
36260,Citroen,C4 Picasso,18_14,2018,7,White,2017,MPV,17905,1.6L,Automatic,Diesel,15000,5,5,Radiator Leaking,0,5,2018-07-05,2,380,4,2018-07-06,14247.69997
28289,Ford,Streetka,29_32,2018,1,Blue,2004,Convertible,67000,1.6L,Manual,Petrol,1495,2,2,Starter Motor Issue,0,24,2018-01-24,1,74.95,3,2018-01-24,1417.679575
3426,Dacia,Duster,22_1,2017,7,White,2017,SUV,10,1.5L,Manual,still_Diesel_but_you_found_an_easteregg,11250,5,5,Radiator Leaking,0,10,2017-07-10,1,265,2,2017-07-10,10686.34026
43426,Ford,S-Max,29_31,2018,8,Blue,2016,MPV,12551,2.0L,Manual,Diesel,21995,7,5,Sensor Malfunction,0,16,2018-08-16,1,1159.75,3,2018-08-16,20892.04966
2388,Ford,Kuga,29_25,2018,7,White,2015,SUV,48039,2.0L,Manual,Diesel,12898,5,5,Brake Pads Worn,0,6,2018-07-06,1,46.449,2,2018-07-06,12256.42096
35162,Citroen,C4 Cactus,18_13,2018,5,Black,2016,Hatchback,18725,1.2L,Manual,Petrol,9995,5,5,Engine Issue,3,25,2018-05-25,2,1479.5,24,2018-05-31,9486.538297
24619,Fiat,500,28_2,2018,8,Blue,2008,Hatchback,63000,1.2L,Manual,Petrol,2980,4,3,Alternator Failing,0,3,2018-08-03,1,99.6,2,2018-08-03,2829.423262
24155,Abarth,595,2_4,2018,8,Blue,2017,Hatchback,3500,1.4L,Manual,Petrol,12000,2,3,Engine Issue,2,2,2018-08-02,2,2440,32,2018-08-10,11408.95512
17269,Ford,Fiesta,29_13,2018,7,Red,2006,Hatchback,89000,1.4L,Manual,Petrol,1865,5,5,Starter Motor Issue,0,1,2018-07-01,1,78.65,3,2018-07-01,1770.091704
31251,Citroen,DS3,21_1,2018,4,Grey,2011,Hatchback,48067,1.6L,Manual,Petrol,6000,5,3,Steering Wheel Shaking,0,16,2018-04-16,2,46,2,2018-04-16,5699.150709
5699,Ford,Mondeo,29_27,2018,6,Silver,2008,Estate,103000,2.0L,Manual,Diesel,2295,5,5,Electrical Issue,5,10,2018-06-10,1,62.295,3,2018-06-10,2175.933533
39740,Ford,Fiesta,29_13,2018,4,Silver,2003,Hatchback,82000,1.4L,Manual,Petrol,1395,5,5,Transmission Issue,1,2,2018-04-02,1,84.185,4,2018-04-03,1328.300158
9997,Chrysler,Ypsilon,17_10,2018,3,Black,2014,Hatchback,25451,1.2L,Manual,Petrol,5500,5,5,Gear Box Issue,0,19,2018-03-19,3,175,6,2018-03-20,5221.261202
25705,Ford,Fiesta,29_13,2018,8,Grey,2014,Hatchback,78081,1.6L,Manual,still_Diesel_but_you_found_an_easteregg,6000,5,5,Steering Wheel Shaking,0,26,2018-08-26,1,-26,1,2018-08-26,5698.36505
20536,Ford,Fiesta,29_13,2018,3,Orange,2013,Hatchback,21918,1.6L,Manual,Petrol,9295,5,3,Steering Wheel Shaking,0,26,2018-03-26,1,29.295,1,2018-03-26,8828.097165
22466,Honda,Accord,34_1,2018,4,Blue,2009,Estate,77620,2.2L,Manual,Diesel,6750,5,5,Excessive Emissions,0,16,2018-04-16,1,-26.075,1,2018-04-16,6410.725613
31451,Ford,Kuga,29_25,2018,4,White,2013,SUV,33211,2.0L,Manual,Diesel,12989,5,5,Starter Motor Issue,0,3,2018-04-03,1,824.3039407,576.9100398,2018-04-27,12335.66847
7485,Fiat,Grande Punto,28_15,2018,8,Grey,2007,Hatchback,119500,1.2L,Manual,Petrol,1000,4,3,Steering Wheel Shaking,0,7,2018-08-07,1,21,1,2018-08-07,949.3956942
41870,Dacia,Duster,22_1,2021,1,White,2019,SUV,12046,1.3L,Manual,Petrol,12925,5,5,Warning Light,0,17,2021-01-17,1,309.25,9,2021-01-19,12270.65613
29143,Ford,B-Max,29_1,2018,6,Gold,2014,MPV,9785,1.6L,Automatic,Petrol,8295,5,5,Excessive Emissions,0,6,2018-06-06,1,27.4655,1,2018-06-06,7875.433248
24687,Ford,S-Max,29_31,2018,8,White,2014,MPV,56660,2.0L,Manual,Diesel,12399,7,5,Starter Motor Issue,0,6,2018-08-06,1,183.99,3,2018-08-06,11783.41616
11537,Ford,Mustang,29_28,2018,8,Red,2017,Coupe,7574,5.0L,Automatic,Petrol,32997,4,3,Brake Pads Worn,0,9,2018-08-09,1,56.4985,2,2018-08-09,31347.66993
24538,Citroen,C4,18_12,2018,7,Red,2011,Hatchback,39500,1.6L,Automatic,Diesel,5590,5,5,Windscreen Crack,0,17,2018-07-17,2,43.354,2,2018-07-17,5307.61719
4669,Bentley,Continental,10_5,2018,7,Grey,2015,Coupe,8668,6.0L,Automatic,Petrol,93950,4,2,Electrical Issue,3,3,2018-07-03,3,529.75,3,2018-07-03,89245.06998
12999,Fiat,Grande Punto,28_15,2018,7,Black,2009,Hatchback,75227,1.4L,Manual,Petrol,1995,5,5,Brake Pads Worn,0,24,2018-07-24,1,40.9975,2,2018-07-24,1903.75352
8689,Ford,Kuga,29_25,2017,4,Red,2015,SUV,21503,2.0L,Manual,Diesel,12994,5,5,Flat Tyres,0,3,2017-04-03,1,23.8982,1,2017-04-03,12340.43186
23602,Citroen,Grand C4 Picasso,18_24,2018,6,Blue,2015,MPV,25000,1.6L,Manual,Diesel,11390,5,5,Gear Box Issue,0,5,2018-06-05,2,193.9,4,2018-06-06,10826.91722
45996,Fiat,500C,28_3,2018,8,White,2013,Convertible,43000,1.2L,Manual,Petrol,5790,4,2,Warning Light,0,12,2018-08-12,1,237.9,9,2018-08-14,5500.421333
39567,Ford,Focus,29_14,2018,7,Blue,2008,Hatchback,107322,1.6L,Manual,Petrol,1190,5,5,Brake Pads Worn,0,2,2018-07-02,1,40.595,2,2018-07-02,1123.987961
10701,Fiat,500X,28_5,2021,4,Green,2019,SUV,19074,1.0L,Manual,Petrol,13299,5,5,Excessive Emissions,0,17,2021-04-17,1,116.3328612,1,2021-04-17,12639.83559
4266,Citroen,Berlingo,18_2,2021,4,Black,2019,MPV,19375,1.5L,Manual,Diesel,15300,7,5,Steering Wheel Shaking,0,5,2021-04-05,2,55.3,2,2021-04-05,14533.52621
42101,Fiat,500,28_2,2018,7,Gelb,2012,Hatchback,24000,1.2L,Automatic,Petrol,5490,4,3,Sensor Malfunction,0,9,2018-07-09,1,334.5,3,2018-07-09,5211.328396
1651,Honda,CR-V,34_3,2018,5,Brown,2012,SUV,46000,2.0L,Automatic,Petrol,10750,5,5,Tyre Alignment,0,3,2018-05-03,1,11.075,0.5,2018-05-03,10215.46338
12723,Ford,S-Max,29_31,2018,3,Blue,2011,MPV,64381,2.0L,Manual,Diesel,8500,7,5,Warning Light,0,21,2018-03-21,1,-265,9,2018-03-23,8079.690537
33404,Citroen,C4,18_12,2018,6,Silver,2007,Hatchback,36000,1.6L,Automatic,Diesel,3995,5,5,Warning Light,0,13,2018-06-13,2,2189.094308,1318.455353,2018-07-12,3789.822141
38928,Ford,Kuga,29_25,2018,4,Grey,2008,SUV,84000,2.0L,Manual,Diesel,5689,5,5,Warning Light,0,20,2018-04-20,1,236.89,9,2018-04-22,5388.976858
25203,Citroen,DS3,21_1,2018,4,Red,2013,Hatchback,26000,1.6L,Manual,Petrol,6977,5,3,Warning Light,0,13,2018-04-13,2,2010.709205,1390.415387,2018-04-30,6639.158048
46000,Honda,HR-V,34_8,2021,5,Silver,2019,SUV,9027,1.5L,Automatic,Petrol,20295,5,5,Transmission Issue,1,20,2021-05-20,1,140.885,4,2021-05-21,19278.53878
5157,Ford,Mustang,29_28,2018,4,Black,2018,Coupe,5000,5.0L,Manual,Petrol,36500,4,3,Transmission Issue,1,4,2018-04-04,1,-189.5,4,2018-04-05,34665.33417
3735,Ford,B-Max,29_1,2018,5,Blue,2015,MPV,1784,1.4L,Manual,Petrol,9975,5,5,Excessive Emissions,0,4,2018-05-04,1,28.9775,1,2018-05-04,9471.399007
50245,Ford,Fusion,29_18,2018,5,Blue,2006,Hatchback,45000,1.4L,Manual,Petrol,1750,5,5,Sensor Malfunction,0,2,2018-05-02,1,147.5,3,2018-05-02,1655.034
26050,Dacia,Sandero,22_3,2018,3,Grey,2017,Hatchback,1890,1.5L,Manual,Diesel,9000,5,5,Brake Pads Worn,0,18,2018-03-18,1,44.5,2,2018-03-18,8542.992384
23510,Ford,Mondeo,29_27,2018,4,Silver,2010,Hatchback,59601,1.8L,Manual,Diesel,6610,5,5,Radiator Leaking,0,7,2018-04-07,1,-172.2,2,2018-04-07,6273.324313
19703,Citroen,DS4,21_3,2017,3,Grey,2015,Hatchback,24428,1.6L,Manual,Diesel,9000,5,5,Transmission Issue,2,21,2017-03-21,2,183,6,2017-03-22,8551.90418
38357,Ford,Mondeo,29_27,2018,5,Grey,2010,Hatchback,103184,2.0L,Automatic,Diesel,4480,5,5,Windscreen Crack,0,14,2018-05-14,1,22.688,1,2018-05-14,4251.217767
30653,Fiat,500,28_2,2018,7,Grey,2015,Hatchback,20848,1.2L,Manual,Petrol,5956,4,3,Steering Wheel Shaking,0,25,2018-07-25,1,25.956,1,2018-07-25,5656.968834
31388,Ford,Focus,29_14,2018,8,Black,2016,Hatchback,15782,1.0L,Manual,Petrol,9799,5,5,Engine Issue,3,19,2018-08-19,1,1219.9,12,2018-08-22,9303.012656
43778,Ford,Focus,29_14,2018,5,Gelb,2004,Hatchback,75000,1.6L,Manual,Petrol,995,5,5,Warning Light,0,17,2018-05-17,1,189.95,9,2018-05-19,950.647422
48316,Ford,Fiesta,29_13,2018,5,Blue,2017,Hatchback,12975,1.25L,Manual,Petrol,9000,5,5,Flat Tyres,0,10,2018-05-10,1,22.7,1,2018-05-10,8551.086451
4748,Fiat,500,28_2,2018,7,Blue,2012,Hatchback,32000,1.2L,Manual,Petrol,4890,4,3,Engine Issue,4,7,2018-07-07,1,444.5,10,2018-07-09,4643.667703
9044,Ford,S-Max,29_31,2018,4,Silver,2015,MPV,28741,2.0L,Manual,Diesel,13999,7,5,Radiator Leaking,0,11,2018-04-11,1,319.98,2,2018-04-11,13296.93143
2073,Ford,Kuga,29_25,2018,4,Black,2011,SUV,56847,2.0L,Manual,Diesel,8750,5,5,Sensor Malfunction,0,26,2018-04-26,1,497.5,3,2018-04-26,8314.974789
36646,Ford,C-Max,29_2,2018,5,Blue,2017,MPV,46857,1.5L,Manual,Diesel,11790,5,5,Radiator Leaking,0,16,2018-05-16,1,275.8,2,2018-05-16,11192.77616
18804,Abarth,595,2_4,2021,1,Yellow,2019,Hatchback,7080,1.4L,Manual,Petrol,16795,4,3,Starter Motor Issue,0,21,2021-01-21,2,287.95,6,2021-01-22,15950.37245
22816,Ford,Fiesta,29_13,2021,5,Red,2019,Hatchback,9778,1.0L,Manual,Petrol,13499,5,3,Windscreen Crack,0,10,2021-05-10,1,28.0994,1,2021-05-10,12827.27228
8972,Fiat,500,28_2,2018,7,Red,2013,Hatchback,31200,1.2L,Manual,Petrol,5495,4,3,Radiator Leaking,0,3,2018-07-03,1,149.9,2,2018-07-03,5223.583375
4836,Ford,Mondeo,29_27,2018,8,Blue,2013,Estate,59940,2.0L,Automatic,Diesel,8000,5,5,Sensor Malfunction,0,5,2018-08-05,1,1812.046424,3,2018-08-05,7601.747405
38745,Ford,Mondeo,29_27,2018,7,Black,2009,Hatchback,122000,2.0L,Manual,Diesel,1950,5,5,Steering Wheel Shaking,0,7,2018-07-07,1,21.95,1,2018-07-07,1849.862651
11177,Ford,C-Max,29_2,2018,3,Brown,2016,MPV,22321,1.5L,Manual,Diesel,9825,5,5,Brake Pads Worn,0,24,2018-03-24,1,-44.9125,2,2018-03-24,9338.02588
16158,Ford,Tourneo Connect,29_34,2018,8,Black,2015,MPV,29402,1.6L,Manual,Diesel,9991,5,5,Radiator Leaking,0,11,2018-08-11,1,239.82,2,2018-08-11,9492.96878
32839,Citroen,C4 Picasso,18_14,2018,8,Blue,2017,MPV,14256,1.6L,Manual,Diesel,15800,5,5,Transmission Issue,3,23,2018-08-23,2,462.2,16,2018-08-27,15008.9213
19607,Ford,Kuga,29_25,2018,4,Silver,2009,SUV,108901,2.0L,Manual,Diesel,5495,5,5,Tyre Alignment,0,5,2018-04-05,1,10.5495,0.5,2018-04-05,5212.486352
29219,Fiat,Grande Punto,28_15,2018,2,Grey,2006,Hatchback,54000,1.4L,Manual,Petrol,1499,5,5,Excessive Emissions,0,22,2018-02-22,1,21.3491,1,2018-02-22,1430.521951
9056,Fiat,500,28_2,2018,8,Red,2012,Hatchback,28217,1.2L,Manual,Petrol,5400,4,3,Brake Pads Worn,0,19,2018-08-19,1,42.7,2,2018-08-19,5127.871435
38102,Ford,Ranger,29_30,2018,8,Silver,2015,Pickup,28039,2.2L,Manual,Diesel,19140,5,4,Tyre Alignment,0,17,2018-08-17,1,11.914,0.5,2018-08-17,18187.01884
14148,Honda,CR-V,34_3,2018,7,Blue,2013,SUV,54000,2.2L,Automatic,Diesel,11995,5,5,Excessive Emissions,0,10,2018-07-10,1,-179.4313254,106.1847344,2018-08-05,11395.34028
10871,Fiat,Qubo,28_21,2018,4,Silver,2010,MPV,55000,1.3L,Manual,Diesel,4295,5,5,Excessive Emissions,0,18,2018-04-18,1,23.8655,1,2018-04-18,4086.529749
45138,Ford,Focus,29_14,2021,5,Red,2019,Hatchback,6629,1.0L,Automatic,Petrol,18500,5,5,Warning Light,0,15,2021-05-15,1,365,9,2021-05-17,17574.14389
35251,Ford,Mondeo,29_27,2018,4,Brown,2014,Estate,91000,2.0L,Automatic,Diesel,8990,5,5,Starter Motor Issue,0,17,2018-04-17,1,149.9,3,2018-04-17,8536.487711
3576,Ferrari,488,27_7,2018,8,Red,2017,Convertible,9546,3.9L,Automatic,Petrol,258994,2,2,Starter Motor Issue,0,5,2018-08-05,3,13048.76952,9390.466222,2018-08-12,246046.4818
8796,Ford,Fusion,29_18,2018,4,Black,2004,Hatchback,133000,1.4L,Manual,Petrol,699,5,5,Starter Motor Issue,0,18,2018-04-18,1,66.99,3,2018-04-18,661.0916065
23401,Ford,Focus,29_14,2018,5,Blue,2016,Estate,36279,1.5L,Manual,Diesel,11000,5,5,Windscreen Crack,0,2,2018-05-02,1,26.6,1,2018-05-02,10448.55433
45027,Fiat,500,28_2,2018,6,Red,2016,Hatchback,11000,1.2L,Manual,Petrol,8250,4,3,Alternator Failing,0,7,2018-06-07,1,205,2,2018-06-07,7831.180485
10927,Citroen,C4,18_12,2018,8,Grey,2017,Hatchback,2127,1.6L,Manual,Diesel,10999,5,5,Transmission Issue,1,8,2018-08-08,2,192.997,8,2018-08-10,10437.95829
49664,Citroen,Xsara Picasso,18_30,2018,5,Gelb,2009,MPV,79600,1.6L,Manual,Diesel,1650,5,5,Excessive Emissions,0,11,2018-05-11,2,41.485,2,2018-05-11,1572.369847
36245,Abarth,595,2_4,2018,8,Blue,2018,Hatchback,9500,1.4L,Manual,Petrol,21500,2,3,Radiator Leaking,0,2,2018-08-02,2,510,4,2018-08-03,20414.37813
23730,Ford,Fiesta,29_13,2018,8,Blue,2003,Hatchback,109000,1.4L,Manual,Petrol,1091,5,5,Engine Issue,2,13,2018-08-13,1,483.65,16,2018-08-17,1028.323317
35957,Ford,S-Max,29_31,2018,4,Gelb,2018,MPV,50,2.0L,Manual,Diesel,21995,7,5,Starter Motor Issue,0,8,2018-04-08,1,279.95,3,2018-04-08,20895.12342
23167,Citroen,Xsara Picasso,18_30,2018,7,Silver,2003,MPV,128000,1.8L,Manual,Petrol,395,5,5,Excessive Emissions,0,9,2018-07-09,2,40.3555,2,2018-07-09,374.957881
43006,Fiat,Idea,28_16,2017,11,Black,2004,Hatchback,93236,1.4L,Manual,Petrol,850,5,5,Brake Pads Worn,0,28,2017-11-28,1,40.425,2,2017-11-28,808.149264
7595,Chevrolet,Trax,16_18,2018,5,White,2013,Hatchback,21780,1.6L,Manual,Petrol,7490,5,5,Engine Issue,2,3,2018-05-03,1,1443.5,16,2018-05-07,7119.946104
39365,Fiat,Bravo,28_10,2018,7,Silver,2007,Hatchback,89000,1.9L,Manual,Diesel,1500,5,5,Warning Light,0,24,2018-07-24,1,195,9,2018-07-26,1424.853255
52255,Dacia,Logan MCV,22_2,2018,3,White,2014,Estate,67000,1.5L,Manual,Diesel,5995,5,5,Engine Issue,1,9,2018-03-09,1,1359,8,2018-03-11,5690.04304
38994,Fiat,500,28_2,2021,3,Red,2019,Hatchback,20000,1.2L,Manual,Petrol,7495,4,3,Flat Tyres,0,3,2021-03-03,1,-22.2485,1,2021-03-03,7125.917248
50642,Citroen,Berlingo,18_2,2018,3,Blue,2015,MPV,20500,1.6L,Manual,Diesel,9450,5,0,Engine Issue,3,12,2018-03-12,2,1425,24,2018-03-18,8975.629428
28811,Ford,Kuga,29_25,2018,5,Gelb,2017,SUV,4500,2.0L,Manual,still_Diesel_but_you_found_an_easteregg,20995,5,5,Flat Tyres,0,21,2018-05-21,1,26.2985,1,2018-05-21,19943.5449
5494,Chrysler,300C,17_1,2018,5,Black,2008,Saloon,50000,3.0L,Automatic,Diesel,5490,5,4,Radiator Leaking,0,2,2018-05-02,3,229.8,6,2018-05-03,5217.318269
32674,Chevrolet,Lacetti,16_11,2018,8,Blue,2008,Estate,820000,1.8L,Automatic,Petrol,325,5,5,Engine Issue,3,8,2018-08-08,1,272.5,12,2018-08-11,309.9047036
6680,Citroen,Grand C4 Picasso,18_24,2018,5,Red,2013,MPV,33000,2.0L,Automatic,Diesel,8000,7,5,Gear Box Issue,0,18,2018-05-18,2,160,4,2018-05-19,7598.106043
11668,Honda,Civic,34_2,2018,3,White,2013,Hatchback,86000,1.6L,Manual,Diesel,6745,5,5,Warning Light,0,22,2018-03-22,1,1238.317845,915.6376876,2018-04-09,6411.27639
34280,Ford,Galaxy,29_19,2018,5,Silver,2017,MPV,16923,2.0L,Manual,Diesel,20491,7,5,Alternator Failing,0,26,2018-05-26,1,449.82,2,2018-05-26,19463.02938
23534,Citroen,Xsara Picasso,18_30,2018,4,Beige,2007,MPV,57800,2.0L,Automatic,Petrol,3245,5,5,Warning Light,0,1,2018-04-01,2,392.45,18,2018-04-05,3087.492505
39473,Ford,Mondeo,29_27,2018,3,Black,2006,Hatchback,80000,2.2L,Manual,Diesel,3250,5,5,Starter Motor Issue,0,26,2018-03-26,1,92.5,3,2018-03-26,3091.209687
23541,Fiat,500,28_2,2018,8,Beige,2014,Hatchback,48052,1.2L,Manual,Petrol,5795,4,3,Brake Pads Worn,0,28,2018-08-28,1,-42.8975,2,2018-08-28,5501.727718
30461,Ford,S-Max,29_31,2018,3,Black,2015,MPV,42023,1.6L,Manual,Diesel,12250,7,5,Steering Wheel Shaking,0,8,2018-03-08,1,32.25,1,2018-03-08,11636.41715
46514,Fiat,Grande Punto,28_15,2018,1,Blue,2008,Hatchback,73000,1.2L,Manual,Petrol,1495,4,3,Tyre Alignment,0,24,2018-01-24,1,10.1495,0.5,2018-01-24,1422.319341
31403,Ford,C-Max,29_2,2018,4,Blue,2014,MPV,51957,1.6L,Manual,Petrol,9709,7,5,Starter Motor Issue,0,22,2018-04-22,1,157.09,3,2018-04-22,9228.332262
52715,Ford,Mustang,29_28,2018,3,Gelb,2017,Convertible,815,5.0L,Automatic,Petrol,38990,4,3,Gear Box Issue,0,14,2018-03-14,1,429.9,2,2018-03-14,37041.97104
20540,Ford,Galaxy,29_19,2018,1,Black,2012,MPV,110000,2.0L,Automatic,Diesel,5489,7,5,Brake Pads Worn,0,20,2018-01-20,1,42.7445,2,2018-01-20,5212.190607
14656,Ford,C-Max,29_2,2018,8,Red,2014,MPV,25219,1.6L,Manual,Diesel,7895,5,5,Sensor Malfunction,0,17,2018-08-17,1,454.75,3,2018-08-17,7487.091218
8109,Ford,Fiesta,29_13,2018,8,Black,2008,Hatchback,77546,1.25L,Manual,Petrol,2295,5,3,Steering Wheel Shaking,0,26,2018-08-26,1,22.295,1,2018-08-26,2184.719928
19472,Honda,Jazz,34_11,2018,8,Grey,2017,Hatchback,9450,1.3L,Manual,Petrol,11995,5,5,Radiator Leaking,0,15,2018-08-15,1,279.9,2,2018-08-15,11398.88938
27166,Ford,Mondeo,29_27,2018,4,Grey,2017,Hatchback,9000,2.0L,Manual,Diesel,17390,5,5,Brake Pads Worn,0,8,2018-04-08,1,-243.0506112,2,2018-04-08,16523.72649
8102,Fiat,500C,28_3,2017,12,White,2010,Convertible,48000,1.4L,Manual,Petrol,4590,4,2,Gear Box Issue,0,28,2017-12-28,1,85.9,2,2017-12-28,4365.269287
21815,Honda,HR-V,34_8,2018,3,Silver,2017,SUV,9983,1.5L,Manual,Petrol,17890,5,5,Sensor Malfunction,0,15,2018-03-15,1,954.5,3,2018-03-15,16986.21524
45322,Fiat,500,28_2,2018,7,Green,2014,Hatchback,18400,1.2L,Manual,Petrol,5490,4,3,Engine Issue,3,3,2018-07-03,1,-789,12,2018-07-06,5223.797925
5591,Citroen,C2,18_7,2018,8,Red,2007,Hatchback,81173,1.1L,Manual,Petrol,950,4,3,Sensor Malfunction,0,4,2018-08-04,2,167.5,6,2018-08-05,904.6023501
15059,Citroen,C2,18_7,2018,7,Blue,2007,Hatchback,77000,1.4L,Manual,Petrol,1675,4,3,Flat Tyres,0,1,2018-07-01,2,40.5025,2,2018-07-01,1597.669378
7200,Ford,Mustang,29_28,2018,7,Grey,2018,Coupe,60,5.0L,Automatic,Petrol,59950,4,2,Excessive Emissions,0,9,2018-07-09,1,73.955,1,2018-07-09,56956.1392
26363,Dacia,Logan MCV,22_2,2021,6,Black,2019,Estate,16430,0.9L,Manual,Petrol,8000,5,5,Tyre Alignment,0,11,2021-06-11,1,10.8,0.5,2021-06-11,7605.713666
18188,Citroen,C4 Picasso,18_14,2018,7,Blue,2007,MPV,130000,1.6L,Manual,Diesel,1695,5,5,Windscreen Crack,0,11,2018-07-11,2,41.017,2,2018-07-11,1603.724086
21214,Ford,S-Max,29_31,2018,8,Blue,2014,MPV,23232,2.0L,Automatic,Diesel,13450,7,5,Sensor Malfunction,0,6,2018-08-06,1,732.5,3,2018-08-06,12767.63065
31,Fiat,Punto Evo,28_20,2018,4,Grey,2010,Hatchback,75000,1.4L,Manual,Petrol,2995,4,5,Tyre Alignment,0,3,2018-04-03,1,10.2995,0.5,2018-04-03,2846.988262
37824,Citroen,C4 Cactus,18_13,2018,5,Silver,2016,Hatchback,32361,1.6L,Manual,Diesel,9780,5,5,Engine Issue,1,7,2018-05-07,2,2276,16,2018-05-11,9293.340517
51357,Fiat,Punto,28_19,2018,2,White,2016,Hatchback,17954,1.2L,Manual,Petrol,6372,5,5,Engine Issue,4,24,2018-02-24,1,-518.6,10,2018-02-26,6056.034995
12743,Ford,C-Max,29_2,2018,2,Brown,2012,MPV,100027,1.6L,Manual,Diesel,4695,5,5,Radiator Leaking,0,26,2018-02-26,1,133.9,2,2018-02-26,4460.435477
18876,Bentley,Continental,10_5,2021,6,Black,2019,Coupe,12200,6.0L,Automatic,Petrol,154995,4,2,Windscreen Crack,0,18,2021-06-18,3,152.997,3,2021-06-18,147245.7627
25935,Ford,Focus,29_14,2018,8,Black,2011,Hatchback,49000,1.6L,Manual,Petrol,6000,5,5,Transmission Issue,3,20,2018-08-20,1,214,8,2018-08-22,5696.530396
49475,Ford,Kuga,29_25,2018,5,Grey,2010,SUV,79831,2.0L,Manual,Diesel,7811,5,5,Engine Issue,1,22,2018-05-22,1,1722.2,8,2018-05-24,7423.969622
33722,Citroen,DS5,21_5,2018,3,Grey,2015,Hatchback,64000,2.0L,Automatic,still_Diesel_but_you_found_an_easteregg,10750,5,5,Warning Light,0,15,2018-03-15,2,467.5,18,2018-03-19,10208.96633
4296,Ford,Mondeo,29_27,2018,4,Blue,2014,Hatchback,49983,2.0L,Manual,Diesel,8992,5,5,Tyre Alignment,0,11,2018-04-11,1,47.77842313,0.5,2018-04-11,8543.61013
12015,Ford,Fusion,29_18,2018,4,Green,2003,Hatchback,65000,1.4L,Manual,Petrol,1695,5,5,Transmission Issue,2,6,2018-04-06,1,-71.865,3,2018-04-06,1608.166467
34817,Ford,EcoSport,29_4,2018,7,White,2017,SUV,4793,1.0L,Manual,Petrol,11294,5,5,Flat Tyres,0,3,2018-07-03,1,23.3882,1,2018-07-03,10725.73772
45630,Dacia,Sandero Stepway,22_4,2021,5,Red,2019,Hatchback,3290,0.9L,Manual,Petrol,10780,5,5,Starter Motor Issue,0,17,2021-05-17,1,167.8,3,2021-05-17,10242.57632
11060,Ford,Fiesta,29_13,2018,4,Red,2017,Hatchback,11664,1.25L,Manual,Petrol,8900,5,5,Warning Light,0,26,2018-04-26,1,269,9,2018-04-28,8460.68479
